,tweet,bias
6729,A suggestion for the dishonest media- https://www.instagram.com/p/BFy12zpmhc9/,1
17218,"So true Don, and this was a big lie. Look what happened to Friends of Trump, for less. Can’t let this pass!https://twitter.com/DonaldJTrumpJr/status/1181913815073603585 …",1
8711,North Korea just stated that it is in the final stages of developing a nuclear weapon capable of reaching parts of the U.S. It won't happen!,1
7421,"Captain Khan, killed 12 years ago, was a hero, but this is about RADICAL ISLAMIC TERROR and the weakness of our ""leaders"" to eradicate it!",1
9702,"Great conversations with President @ EmmanuelMacron and his representatives on trade, military and security.",1
5034,"We may be physically apart, but this week Democrats are coming together from across the nation to put forth our vision for a better America. #DemConvention

Tune in tonight at 9 PM ET to join us: https://t.co/xk0GcS7PGq https://t.co/8pnGC9jrvd",0
7692,Just heard that crazy and very dumb @ morningmika had a mental breakdown while talking about me on the low ratings @ Morning_Joe. Joe a mess!,1
14860,"The Radical Left Democrats, together with their leaders in the Fake News Media, have gone totally insane! I guess that means that the Republican agenda is working. Stay tuned for more!",1
14265,"William Barr is arriving at a Justice Department that desperately needs an infusion of credibility, writes @ KimStrassel https://www.wsj.com/articles/bill-barrs-hot-mess-11550188935 … via @ WSJ",1
17208,"So make all Member Countries pay, not just the United States!https://twitter.com/CBSEveningNews/status/1181612030027030529 …",1
7654,NATIONAL DEBT January 2009 = $10.6 TRILLION August 2016 = $19.4 TRILLIONpic.twitter.com/dKAVaLfGAJ,1
12284,"While the NATO meeting in Brussels was an acknowledged triumph, with billions of dollars more being put up by member countries at a faster pace, the meeting with Russia may prove to be, in the long run, an even greater success. Many positive things will come out of that meeting..",1
12569,My friend and very early supporter Kris Kobach won the Republican Nomination for Governor of Kansas last night in a tough race against a very fine opponent. Kris will win in November and be a great Governor. He has my complete and total Endorsement!,1
1978,"We are almost 330 million Americans who have to do what our president can’t. Stand together. Stand against hate. Stand up for what—at our best—this nation believes.

If we stand together, we will win the battle for the soul of this nation.",0
3800,"Coronavirus is bigger than any one of us. Please take care of yourself, wash your hands, and practice social distancing. We will get through this — together. https://t.co/133eiugfnJ",0
6952,Finally an accurate story from the Washington Post!https://www.washingtonpost.com/blogs/erik-wemple/wp/2016/06/15/the-trump-effect-cable-news-viewership-and-profits-surge-in-2015/?wpisrc=nl_popns&wpmm=1 …,1
16120,"Congratulations to Kelly Knight Craft of # Kentucky on her confirmation as United Nations Ambassador. After having served so admirably as Ambassador to Canada, & having done an outstanding job no matter how difficult the task, Kelly will be fantastic at the United Nations. Winner!",1
7689,Thank you for having me this morning @ AmericanLegion. I enjoyed my time with everyone! # ALConvention2016pic.twitter.com/19TZEi6EbB,1
3115,"Our end-of-year fundraising deadline is quickly approaching — and we need your help to reach our goal in order to make the investments in Iowa necessary to win.

With just 38 days until the caucus, we need every dollar we can get. Chip in today: https://t.co/Kdq4kVimfs",0
12470,"Tariffs are working far better than anyone ever anticipated. China market has dropped 27% in last 4months, and they are talking to us. Our market is stronger than ever, and will go up dramatically when these horrible Trade Deals are successfully renegotiated. America First.......",1
17420,"Just another FAKE SUPPRESSION POLL, this time from @ FoxNews, of course!https://twitter.com/KellyannePolls/status/1183399176119443457 …",1
6873,""" @ DjD_Thunder: Standing by @ realDonaldTrump all the way to the White House! pic.twitter.com/z4X1o5xHBh""",1
11555,"Fantastic crowd and great people yesterday in Key West, Florida. Thank you!pic.twitter.com/HqOUFgmbQS",1
1382,We’re kicking off this campaign on May 18th—and we need #TeamJoe’s help. Sign up to host a house party to tune in with your friends and family: https://t.co/3TRBR6Fz8i https://t.co/csz3BwPlns,0
18426,"The anti-Semitic attack in Monsey, New York, on the 7th night of Hanukkah last night is horrific. We must all come together to fight, confront, and eradicate the evil scourge of anti-Semitism. Melania and I wish the victims a quick and full recovery.",1
18354,"Crazy Nancy wants to dictate terms on the Impeachment Hoax to the Republican Majority Senate, but striped away all Due Process, no lawyers or witnesses, on the Democrat Majority House. The Dems just wish it would all end. Their case is dead, their poll numbers are horrendous!",1
9148,Thanks you for all of the Trump Rallies today. Amazing support. We will all MAKE AMERICA GREAT AGAIN!,1
13622,"President Xi and I have a very strong and personal relationship. He and I are the only two people that can bring about massive and very positive change, on trade and far beyond, between our two great Nations. A solution for North Korea is a great thing for China and ALL!",1
2033,"A new school year is here—we must recognize those working to prepare our students to succeed in tomorrow’s economy: educators.

As President, I will ensure our educators are supported with the pay and dignity they deserve. Read my plan here: https://t.co/d1o4WnDczV https://t.co/hEYMMjh0bF",0
3438,"Iowa and New Hampshire were just the beginning—we're taking this campaign to the rest of the country, and we need your help to talk with voters. Every conversation makes a big difference, and it's as easy as sending a text. Sign up to help today: https://t.co/15wwDCwJIZ https://t.co/JpiKikRrt3",0
7099,"Just read in the failing @ nytimes that I was not aware ""the event had to be held in Cleveland"" - a total lie. These people are sick!",1
8940,"What an amazing comeback and win by the Patriots. Tom Brady, Bob Kraft and Coach B are total winners. Wow!",1
672,"Joe photo of the day: A new friend in Reno, NV. http://t.co/8B0teuFb",0
9315,This month we celebrate the contributions of Asian Americans & Pacific Islanders that enrich our Nation. https://www.whitehouse.gov/the-press-office/2017/04/28/president-donald-j-trump-proclaims-may-2017-asian-american-and-pacific …,1
15304,Just arrived in Colorado. Getting ready to deliver the commencement speech at the Air Force Academy graduation. Very exciting - probably will be broadcast live on TV. They want good ratings!,1
9325,The Fake News media is officially out of control. They will do or say anything in order to get attention - never been a time like this!,1
13632,"The negotiations with China have already started. Unless extended, they will end 90 days from the date of our wonderful and very warm dinner with President Xi in Argentina. Bob Lighthizer will be working closely with Steve Mnuchin, Larry Kudlow, Wilbur Ross and Peter Navarro.....",1
11253,“Consumer Confidence in February Highest Since November 2000”http://www.shopfloor.org/2018/02/conference-board-consumer-confidence-february-highest-since-november-2000/ …,1
1488,"Today, President Trump denies the evidence in front of his own eyes, hides climate science produced by his own administration, and actively works to roll back what progress we have already made.

It’s reckless, it’s irresponsible, and it’s unacceptable. https://t.co/3r9TqKKqGQ",0
9581,Fake News CNN is looking at big management changes now that they got caught falsely pushing their phony Russian stories. Ratings way down!,1
3661,"The press and the pundits declared us dead — but tonight has made clear that we are very much alive. We're building the campaign that can unite the party and beat Donald Trump — but we need your help to do it.

Chip in to keep this momentum going: https://t.co/QgjqRYLxiB",0
7030,"So funny, Crooked Hillary called BREXIT so incorrectly, and now she says that she is the one to deal with the U.K. All talk, no action!",1
3531,"Thank you to all of our incredible volunteers in Nevada for all your hard work — your faith in our campaign means the world to me.

We’re taking this campaign across the country and need your help. Head to https://t.co/r0RlGWdvLe to get involved today. https://t.co/uA1dv5hjL3",0
1759,"America’s strength is and has always been rooted in our diversity. But President Trump continues to spew hateful rhetoric, sow division, and stoke racial tensions for his own political gain.

Let's be clear: Racism and xenophobia have no place in America. https://t.co/Gtcx96uZhd",0
1421,"No one should be fired, denied a home or access to services because of who they are or who they love. But that’s not the reality for many LGBTQ Americans.

Today’s historic passage of the #EqualityAct moves us one step closer to righting this wrong — the Senate should act now.",0
661,Taegan Goddard: “He kept Romney on the defensive and came prepared … It was devastatingly effective.” http://t.co/lhWoD5MT,0
163,The President said it well: We have a plan to give everyone a fair shot. They don’t. –Joe,0
11922,The Obama Administration is now accused of trying to give Iran secret access to the financial system of the United States. This is totally illegal. Perhaps we could get the 13 Angry Democrats to divert some of their energy to this “matter” (as Comey would call it). Investigate!,1
11939,". @ G7 Press Briefing in Charlevoix, Canada, prior to departing for Singapore!https://www.pscp.tv/w/bevwOTFvTlFsTFJub1dwUXd8MWt2SnBXTU15ZUxHRdm74Zig6bz4zPLpFvWb_smC8Lf4L392APAmLFku8Pgx?t=1s …",1
12615,"Has anyone looked at the mistakes that John Brennan made while serving as CIA Director? He will go down as easily the WORST in history & since getting out, he has become nothing less than a loudmouth, partisan, political hack who cannot be trusted with the secrets to our country!",1
4868,Donald Trump voted by mail. You should be able to as well.,0
12183,Wow! The NSA has deleted 685 million phone calls and text messages. Privacy violations? They blame technical irregularities. Such a disgrace. The Witch Hunt continues!,1
4855,"John — march on, dear friend. May God bless you. And may you continue to inspire righteous good trouble down from the Heavens. https://t.co/lqg9SGxYNE",0
13572,"....and false way. Something has to be done, including the possibility of the United States starting our own Worldwide Network to show the World the way we really are, GREAT!",1
8062,We're going to cut taxes BIG LEAGUE for the middle class. She's raising your taxes and I'm lowering your taxes! https://www.donaldjtrump.com/press-releases/clintons-tax-agenda-promises-to-harm-the-u.s.-economy …,1
6393,Thank you Delaware! # Trump2016 # MakeAmericaGreatAgain # TrumpTrain http://bit.ly/23QSsDhDELAWARE pic.twitter.com/ofhbM9bcOI,1
14865,"“The best thing ever to happen to Twitter is Donald Trump.” @ MariaBartiromo So true, but they don’t treat me well as a Republican. Very discriminatory, hard for people to sign on. Constantly taking people off list. Big complaints from many people. Different names-over 100 M.....",1
8344,"Thank you Sanford, Florida. Get out & VOTE # TrumpPence16! # ICYMI- watch this afternoons rally here: https://www.facebook.com/DonaldTrump/videos/10157973171305725/ …pic.twitter.com/cwGqKECVtX",1
2965,"Our president should be able to meet a simple test: understanding that Puerto Ricans are American citizens, and that they are entitled to—and deserve—the same support from the United States government as every citizen.

Donald Trump has failed that test. 
https://t.co/SG3yG0evPv",0
13680,Very sad day & night in Paris. Maybe it’s time to end the ridiculous and extremely expensive Paris Agreement and return money back to the people in the form of lower taxes? The U.S. was way ahead of the curve on that and the only major country where emissions went down last year!,1
9523,Camp David is a very special place. An honor to have spent the weekend there. Military runs it so well and are so proud of what they do!,1
12956,"....it was impossible - and then already it’s over 4%, and I expect it’s going to grow faster and faster. We’re just getting started here.” Peter Ferrara, former advisor to President Reagan. @ foxandfriends",1
7550,I have always been the same person-remain true to self.The media wants me to change but it would be very dishonest to supporters to do so!,1
15077,"Ever since the Mueller Report showed No Collusion & No Obstruction, the Dems have been working overtime to damage me and the Republican Party by issuing over 80 demands for documents and testimonies, and with NO REASON. That’s all they want to do - don’t care about anything else!",1
10031,Departing for Texas and Louisiana with @ FLOTUS Melania right now @JBA_NAFW. We will see you soon. America is with you!pic.twitter.com/z3bHVdJVPr,1
16545,"In addition to Florida - South Carolina, North Carolina, Georgia, and Alabama, will most likely be hit (much) harder than anticipated. Looking like one of the largest hurricanes ever. Already category 5. BE CAREFUL! GOD BLESS EVERYONE!",1
114,The VP’s plan for today: talking to grassroots supporters all over New Hampshire.,0
14513,"....to the people that got you there. Keep fighting for Tucker, and fight hard for @ JudgeJeanine. Your competitors are jealous - they all want what you’ve got - NUMBER ONE. Don’t hand it to them on a silver platter. They can’t beat you, you can only beat yourselves!",1
17171,Thank you @ HeyTammyBruce!pic.twitter.com/WYtJQmWv26,1
18114,Great!https://twitter.com/marklevinshow/status/1203696367178309632 …,1
7808,Just arrived in Texas - have been informed two @ fortworthpd officers have been shot. My thoughts and prayers are with them.,1
12726,"Martha McSally, running in the Arizona Primary for U.S. Senate, was endorsed by rejected Senator Jeff Flake....and turned it down - a first! Now Martha, a great U.S. Military fighter jet pilot and highly respected member of Congress, WINS BIG. Congratulations, and on to November!",1
7063,Check it out - 2nd video on Lying Crooked Hillary is now online! Watch it here: https://www.lyingcrookedhillary.com/lie/clinton-lies-about-classified-material-on-her-secret-server … # CrookedHillary # Trump2016,1
2611,"Rooted in Scranton, fortified in the halls of Congress, and proven in the White House — my values have never changed, and they never will. I won’t stop fighting for the hardworking Americans who make our country run every single day. https://t.co/wNRzK1iso1",0
4160,"Imagine the future we can build with Donald Trump out of the White House. A future where:

- Health care is a right
- We combat climate change
- We end our gun violence epidemic
- Our government works for all — not just the powerful

Let’s build that future, together.",0
4746,"To all the nurses on the frontlines of this fight, thank you. You are American heroes. https://t.co/fgTDhXU72C",0
18150,"THANK YOU PENNSYLVANIA! With your help, your devotion, and your drive, we are going to keep on working, we are going to keep on fighting, and we are going to keep ON WINNING! We are ONE movement, ONE people, ONE family, and ONE GLORIOUS NATION UNDER GOD!https://www.pscp.tv/w/cMBBkTEzNTg4Mzh8MUJSSmpxdnlFTFJHd_JnG7x7-XGT9Mia0yGarkRMLLETXz2FfKS4xYi0cw1w?t=1m2s …",1
11090,The top Leadership and Investigators of the FBI and the Justice Department have politicized the sacred investigative process in favor of Democrats and against Republicans - something which would have been unthinkable just a short time ago. Rank & File are great people!,1
4427,"Today, we learned that another 2.1 million people filed for unemployment last week, bringing the total number of new claims since this crisis began to more than 40 million. It's just the latest evidence of Donald Trump’s utter failure of leadership. https://t.co/YSHGLBdMLG",0
9789,The crowd in Ohio was amazing last night - broke all records. We all had a great time in a great State. Will be back soon!,1
4250,Real presidents lead. Reality TV presidents don’t. https://t.co/2lMwnRXLcG,0
10757,Report: “ANTI-TRUMP FBI AGENT LED CLINTON EMAIL PROBE” Now it all starts to make sense!,1
16169,Check out what @ Google is up to for the 2020 election! # KAG2020pic.twitter.com/roM2WNmUSP,1
3370,"Rosa Parks helped ignite a movement that changed the course of history. Let’s carry on her legacy by continuing to push our nation to finally live up to our highest ideals. We can’t rest until we achieve liberty, justice, and equality for all. #RosaParksDay",0
9184,"Wow, @ FoxNews just reporting big news. Source: ""Official behind unmasking is high up. Known Intel official is responsible. Some unmasked....",1
1736,"We have to champion liberty and democracy. We have to reclaim our credibility. We have to look with unrelenting optimism and determination toward the future.

Head to https://t.co/Iopa13F7wt to read our full plan.",0
16739,Great news about the work we are doing on illegal immigration!https://www.foxnews.com/opinion/rep-matt-gaetz-trump-crackdown-on-illegal-immigration-succeeding-america-benefits …,1
9276,"If our healthcare plan is approved, you will see real healthcare and premiums will start tumbling down. ObamaCare is in a death spiral!",1
12441,"Join me tomorrow night at 7pmE in Wilkes-Barre Township, Pennsylvania for a MAKE AMERICA GREAT AGAIN RALLY! Tickets: https://www.donaldjtrump.com/rallies/wilkes-barre-pa-august-2018/ …pic.twitter.com/c52kIxvdF7",1
3392,We’re not only going to have to win the White House but we have to bring along the United States Senate. We can’t do that with someone who labels themselves as a Democratic Socialist. #DemDebate,0
17478,Big success on the Turkey/Syria Border. Safe Zone created! Ceasefire has held and combat missions have ended. Kurds are safe and have worked very nicely with us. Captured ISIS prisoners secured. I will be making a statement at 11:00 A.M. from the White House. Thank you!,1
14951,https://www.wsj.com/articles/a-real-attorney-general-11556752279 …,1
6699,Crooked Hillary is spending tremendous amounts of Wall Street money on false ads against me. She is a very dishonest person!,1
9388,"It was a great honor to welcome the President of Turkey, Recep Tayyip Erdoğan, to the @ WhiteHouse today!pic.twitter.com/4BWjOCgnNv",1
12809,“Secretary Mattis Nukes Woodward Allegations”https://dailycaller.com/2018/09/04/secretary-mattis-woodward-allegations/ …,1
191,“We'll never be able to outsource our way to greatness. The greatness of this nation is the grit and determination of all of you.”—VP Biden,0
14784,"Spoke to @ TigerWoods to congratulate him on the great victory he had in yesterday’s @ TheMasters, & to inform him that because of his incredible Success & Comeback in Sports (Golf) and, more importantly, LIFE, I will be presenting him with the PRESIDENTIAL MEDAL OF FREEDOM!",1
4338,"No graduating class gets to choose the world into which they graduate, but few have ever entered at a point in this country's history where they genuinely have a chance to write a new chapter.

Congratulations to the class of 2020, I can't wait to see the future you create. https://t.co/rfdhDJzBjO",0
14190,PRESIDENTIAL HARASSMENT! It should never be allowed to happen again!,1
12724,New Poll - A majority of Americans think that John Brennan and James Comey should have their Security Clearances Revoked. Not surprised! @ FoxNews,1
4071,"Together, we will defeat Donald Trump. https://t.co/2nF0qVGGaH",0
14314,"HOLD THE DATE! We will be having one of the biggest gatherings in the history of Washington, D.C., on July 4th. It will be called “A Salute To America” and will be held at the Lincoln Memorial. Major fireworks display, entertainment and an address by your favorite President, me!",1
1886,"A car accident took the lives of my first wife and baby daughter. My family was fortunate to have health insurance, but that's not the case for many.
 
This is why I fight. I believe deeply that health care is a right for all—not a privilege for the few. https://t.co/qsyFHn8jH9",0
17437,"Pelosi is now leading a delegation of 9, including Corrupt Adam Schiff, to Jordan to check out Syria. She should find out why Obama drew The Red Line In the Sand, & then did NOTHING, losing Syria & all respect. I did something, 58 missiles. One million died under Obama’s mistake!",1
14309,God Bless the people of Venezuela!,1
15580,Wonderful Church service at Camp David. Thank you!,1
15903,"....Governor of the State did a good job. That may be true but she could not have done it without the tremendous economic success of our Country & the turnaround that my Administration has caused. Really Nasty to me in his average I.Q. Columns, kissed my a.. on the call. Phony!",1
15399,"Watched MSNBC this morning just to see what the opposition was saying about events of the past week. Such lies, almost everything they were saying was the opposite of the truth. Fake News! No wonder their ratings, along with CNN, are WAY DOWN. The hatred Comcast has is amazing!",1
11745,"What ever happened to the Server, at the center of so much Corruption, that the Democratic National Committee REFUSED to hand over to the hard charging (except in the case of Democrats) FBI? They broke into homes & offices early in the morning, but were afraid to take the Server?",1
17659,Don’t miss this show!https://twitter.com/marklevinshow/status/1191126978096709632 …,1
4074,I know the American people will beat this. We’re brave and big-hearted. We’ve emerged stronger from every crisis that has tested us as a nation — and we will again.,0
17685,"This is the time for Mexico, with the help of the United States, to wage WAR on the drug cartels and wipe them off the face of the earth. We merely await a call from your great new president!",1
159,We’ll be live-tweeting the President’s remarks on @Obama2012—follow along for the latest.,0
6460,""" @ LexingtonBobby: @ FoxNews @ tedcruz @ realDonaldTrump https://twitter.com/LexingtonBobby/status/726403573555302400/photo/1pic.twitter.com/uhDlyi82Ua """,1
6210,We must build a great wall between Mexico and the United States!http://www.dailymail.co.uk/news/article-3518397/Moment-two-drugs-smugglers-filmed-news-crew-sneaking-U-S-scaling-Arizona-border-fence.html …,1
6329,""" @ wdct8110: @ realDonaldTrump We love you Donald ! Finally someone who actually cares about us .. !! pic.twitter.com/BKoQu1mm4A""",1
13121,Thank you Jacksonville Sheriff’s Office! # HurricaneMichaelhttps://twitter.com/JSOPIO/status/1050132146373967892 …,1
11278,"Lowest rated Oscars in HISTORY. Problem is, we don’t have Stars anymore - except your President (just kidding, of course)!",1
31,Expecting a great crowd at the #Gen44 event tonight—looking forward to seeing you all there. –Joe,0
13612,Great reviews on the USMCA - sooo much better than NAFTA!,1
12054,"We shouldn’t be hiring judges by the thousands, as our ridiculous immigration laws demand, we should be changing our laws, building the Wall, hire Border Agents and Ice and not let people come into our country based on the legal phrase they are told to say as their password.",1
3689,"Get real, Bernie. The only person who's going to cut Social Security if he's elected is Donald Trump. Maybe you should spend your time attacking him. https://t.co/7rwvXWmUWG",0
5428,"Today, we'll pass another grim milestone in this pandemic: 200,000 American lives lost.

Jill and I are keeping everyone who's hurting in our prayers. No words can numb your pain, but know the nation grieves with you.

Today is dark, but we will overcome this. Keep the faith.",0
11890,Separating families at the Border is the fault of bad legislation passed by the Democrats. Border Security laws should be changed but the Dems can’t get their act together! Started the Wall.,1
18328,"....Kevin is strong on Securing the Border, # USMCA, protecting our # 2A, and Loves our Vets and Military. Kevin is a true friend, and has my Complete and Total Endorsement!",1
17096,"....it to Congress, and the American people, as though it was the statement of the President of the United States, me. He did it to fool Congress and the public in order to make me look BAD. He is a sick puppy!",1
8277,"Great crowd in Fletcher, North Carolina- thank you! Heading to Johnstown, Pennsylvania now! Get out on November 8th and # VoteTrumpPence16!pic.twitter.com/3ee0tk8A8t",1
9967,"Not only does the media give a platform to hate groups, but the media turns a blind eye to the gang violence on our streets!pic.twitter.com/Mau0B1qYIP",1
9869,"... Supreme Court pick, economic enthusiasm, deregulation & so much more have driven the Trump base even closer together. Will never change!",1
1086,Thrilled to see the 2028 Olympics coming to Los Angeles. Thanks to @MayorOfLA Garcetti who worked hard to secure a big win for US athletics.,0
8045,It’s this simple. “Make America Great Again.” # debate # BigLeagueTruth,1
5364,"To be clear: I am not currently president. But if you chip in now, we can change that in November: https://t.co/eFS4tDfHEx https://t.co/ciqFcIGLHB",0
5327,Always remember. https://t.co/BwaBSo8LFq,0
7598,"Great meeting with active & retired law enforcement officers- at the Fraternal Order of Police lodge in Akron, Ohio.pic.twitter.com/EUWhDC644R",1
12372,America is OPEN FOR BUSINESS and U.S. Steel is back!pic.twitter.com/lJTcr6JHBW,1
17213,"The so-called Whistleblower, before knowing I was going to release the exact Transcript, stated that my call with the Ukrainian President was “crazy, frightening, and completely lacking in substance related to national security.” This is a very big Lie. Read the Transcript!",1
12412,"Illegal immigration is a top National Security problem. After decades of playing games, with the whole World laughing at the stupidity of our immigration laws, and with Democrats thinking...",1
13664,"It has been incorrectly reported that Rudy Giuliani and others will not be doing a counter to the Mueller Report. That is Fake News. Already 87 pages done, but obviously cannot complete until we see the final Witch Hunt Report.",1
15843,China’s 2nd Quarter growth is the slowest it has been in more than 27 years. The United States Tariffs are having a major effect on companies wanting to leave China for non-tariffed countries. Thousands of companies are leaving. This is why China wants to make a deal....,1
2734,"Trump's Cuba policy hurts families on &amp; off the island. Administrations of both parties have supported family reunification, and I support @DebbieforFL &amp; @DonnaShalala's work to reunite Cuban families. As president, I will reinstate the Cuban Family Reunification Parole Program.",0
8770,Ford said last week that it will expand in Michigan and U.S. instead of building a BILLION dollar plant in Mexico. Thank you Ford & Fiat C!,1
1575,"Trump continues to undermine our standing in the world.

Our core values of inclusivity, diversity, respect for the rule of law, freedom of speech, freedom of the press, and freedom of religion are under attack here at home and abroad.",0
12750,"Ivanka Trump & Jared Kushner had NOTHING to do with the so called “pushing out” of Don McGahn.The Fake News Media has it, purposely,so wrong! They love to portray chaos in the White House when they know that chaos doesn’t exist-just a “smooth running machine” with changing parts!",1
15729,".....Comcast (NBC/MSNBC) Trump haters, who do whatever Brian & Steve tell them to do. Like CNN, NBC is also way down in the ratings. But @ FoxNews, who failed in getting the very BORING Dem debates, is now loading up with Democrats & even using Fake unsourced @ nytimes as....",1
9320,FBI Director Comey was the best thing that ever happened to Hillary Clinton in that he gave her a free pass for many bad deeds! The phony...,1
1601,.@GabbyGiffords’ dedication to making our communities safer continues to be an inspiration. I join her in urging the Senate to vote on #BackgroundChecksNow. We must take on the @NRA and end the epidemic of gun violence in our country. https://t.co/XqRzkRe2KY,0
14806,No Collusion - No Obstruction!pic.twitter.com/diggF8V3hl,1
2395,"Being middle class isn’t a number. It’s a value set. It’s about the issues that matter to every American family: a good education, economic opportunity, access to quality, affordable health care.

We've got to rebuild the middle class and, this time, ensure everyone comes along.",0
1180,"Our top priority should be investing in our workers by 1. ensuring they have the skills &amp; opportunities to get a good job, 2. making work pay, and 3. cutting the costs of raising a family. 

Read my thoughts on how we can all help our workers succeed: https://t.co/LskwT40rA3",0
7305,"The new joke in town is that Russia leaked the disastrous DNC e-mails, which should never have been written (stupid), because Putin likes me",1
7291,"Looks like the Bernie people will fight. If not, their BLOOD, SWEAT AND TEARS was a total waste of time. Kaine stands for opposite!",1
3838,The president has been behind the curve throughout this whole response. He’s talking about yesterday rather than where we need to be tomorrow. The president needs to stop talking and start rallying government action with the urgency and ambition this moment demands.,0
3423,"We are in a battle for the soul of this nation. If we want to win, it’s going to take everyone stepping up and making their voice heard. If you live in New Hampshire, confirm your polling place by heading to https://t.co/M2XhjJUMST and make sure to get out and vote today. https://t.co/yNCBuNKlmh",0
9963,"See you at 7:00 P.M. tonight Phoenix, Arizona! # MAGA Tickets: https://www.donaldjtrump.com/rallies/phoenix-az …pic.twitter.com/1w3LVkpESE",1
772,"If you’ve got a phone and a computer, you can make calls. Get started now: http://t.co/VRUOBwY8 http://t.co/VZDBWOhK",0
75,VP Biden spoke at @LafCol in Pennsylvania last night—the same school his great-grandfather attended: http://t.co/TAkS2auH,0
17662,"@ marklevinshow Mark Levin: “We ought to talk about the substance of this phone call. We have the call, I don’t know what we need witnesses for? Can’t we read English? Do I need a Whistleblower to tell me what I’m reading? Do I need a Lt. C. to tell me? NO.” So plain and simple!",1
12364,Twitter “SHADOW BANNING” prominent Republicans. Not good. We will look into this discriminatory and illegal practice at once! Many complaints.,1
5154,"I believe the American people are ready for something better. This is our moment to prove hope is more powerful than fear, love is more powerful than hate, and light is more powerful than darkness.

Join us: https://t.co/ml7NJ94Nks",0
259,VP Biden on Mitt Romney: “He reflexively criticizes the President’s policies without offering any alternatives.”,0
4614,It's clear Donald Trump will stop at nothing to tear down Obamacare and rip health care away from millions. We cannot let him get away with it. We have to build on the ACA with a new public option to ensure everyone receives the care they deserve. https://t.co/34NCSYhO2C,0
14344,"I have now spent more time in Vietnam than Da Nang Dick Blumenthal, the third rate Senator from Connecticut (how is Connecticut doing?). His war stories of his heroism in Vietnam were a total fraud - he was never even there. We talked about it today with Vietnamese leaders!",1
386,"Check out highlights from the VP’s visit to York, Pennsylvania yesterday: http://t.co/rz8gpYGl",0
11279,"Federal Judge in Maryland has just ruled that “President Trump has the right to end DACA.” President Obama had 8 years to fix this problem, and didn’t. I am waiting for the Dems, they are running for the hills!",1
11466,A TOTAL WITCH HUNT!!!,1
1734,"Embracing dictators. Threatening war. Embarrassing the United States.

That’s the #TrumpDoctrine.

Reclaiming American leadership starts now. https://t.co/8BQv50aseA",0
15710,"“Record 157,005,000 Employed; 19th Record of Trump Era”https://www.cnsnews.com/news/article/susan-jones/157005000-employed-june-19th-record-trump-era …",1
16485,"There has never been a time in the history of our Country that the Media was so Fraudulent, Fake, or Corrupt! When the “Age of Trump” is looked back on many years from now, I only hope that a big part of my legacy will be the exposing of massive dishonesty in the Fake News!",1
10840,A story in the @ washingtonpost that I was close to “rescinding” the nomination of Justice Gorsuch prior to confirmation is FAKE NEWS. I never even wavered and am very proud of him and the job he is doing as a Justice of the U.S. Supreme Court. The unnamed sources don’t exist!,1
17402,"....He is also my friend! At the same time, I am pleased to nominate Deputy Secretary Dan Brouillette to be the new Secretary of Energy. Dan’s experience in the sector is unparalleled. A total professional, I have no doubt that Dan will do a great job!",1
8841,"power from Washington, D.C. and giving it back to you, the American People. # InaugurationDay",1
4727,"American workers can out-compete anyone, but they need a government that fights for them. I'll revitalize American manufacturing — especially smaller manufacturers and those owned by women and people of color — and ensure the future is made here in America. https://t.co/lJQBsnRN75",0
6245,"""@vikkideiter: Something VERY close to my heart. I'm a NAVY VET! I love @ realDonaldTrump's VETERANS ADMINISTRATION REFORMS.",1
16458,"Wow! Yet another big storm heading to Puerto Rico. Will it ever end? Congress approved 92 Billion Dollars for Puerto Rico last year, an all time record of its kind for “anywhere.”",1
11914,"Isn’t it Ironic? Getting ready to go to the G-7 in Canada to fight for our country on Trade (we have the worst trade deals ever made), then off to Singapore to meet with North Korea & the Nuclear Problem...But back home we still have the 13 Angry Democrats pushing the Witch Hunt!",1
6961,""" @ VoteTrumpMAGA: The media attack on @ realDonaldTrump is relentless. They are desperate. But, they keep # Trump in the news - a good thing.",1
2381,It’s clear — we are in a battle for the soul of this nation. It’s time to pick our heads up and show the world who we are. We are the United States of America — there is nothing beyond our capacity.,0
5600,Unity over division.,0
14796,I believe it will be Crazy Bernie Sanders vs. Sleepy Joe Biden as the two finalists to run against maybe the best Economy in the history of our Country (and MANY other great things)! I look forward to facing whoever it may be. May God Rest Their Soul!,1
12292,The two biggest opponents of ICE in America today are the Democratic Party and MS-13!,1
4990,"We’ve all watched @KamalaHarris in the Senate go toe-to-toe with Trump officials trying to hide the truth, asking the tough questions that need to be asked — and not stopping until she gets an answer. She’s ready to do this job.",0
2968,We need a president who is respected on the world stage. https://t.co/Hqv6T06Mtv,0
2705,"We must get Donald Trump out of office. Once we do, the road is clear for significant change. #LJ19 https://t.co/OdaH2JXoik",0
9408,Just arrived in Italy for the G7. Trip has been very successful. We made and saved the USA many billions of dollars and millions of jobs.,1
16637,"China just enacted a major stimulus plan. With all the Tariffs THEY are paying to the USA, Billions and Billions of Dollars, they need it! In the meantime, our Federal Reserve sits back and does NOTHING!",1
3542,"We’re not just trying to beat Donald Trump. We’ve got to take back the Senate, keep the House of Representatives, and unite our party. https://t.co/mPfsp2hh7n",0
7430,"Join Governor Mike Pence in Reno, Nevada- tonight at 7pm! Tickets available at: https://www.donaldjtrump.com/schedule/register/reno-nv1/ …",1
18134,Read the Transcripts!,1
